Destination	Skills	Quests	isMembers	Varbits	Varplayers	Wilderness level	Duration	Display info
# Barbarian Assault - Barbarian Outpost								
2531 3569 0			Y	3264=11	888@20	0	23	Barbarian Assault
								
# Blast Furnace - East Keldagrim								
2894 10214 0		The Giant Dwarf	Y		888@20	0	23	Blast Furnace
								
# Burthorpe Games Room								
2899 3553 0			Y		888@20	0	23	Burthorpe Games Room
								
# Castle Wars								
2442 3093 0					888@20	0	23	Castle Wars
								
# Clan Wars - Ferox Enclave								
3150 3635 0					888@20	0	23	Clan Wars
								
# Fishing Trawler - Port Khazard								
2658 3157 0	15 Fishing		Y		888@20	0	23	Fishing Trawler
								
# Giants' Foundry - Giants' Plateau								
3361 3149 0			Y		888@20	0	23	Giant's Foundry
								
# Guardians of the Rift - Temple of the Eye								
3104 9573 0		Temple of the Eye	Y		888@20	0	23	Guardians of the Rift
								
# Last Man Standing - Ferox Enclave								
3150 3635 0					888@20	0	23	Last Man Standing
								
# Mage Training Arena								
3363 3295 0			Y	10670=1	888@20	0	23	Mage Training Arena
								
# Nightmare Zone - North of Yanille								
2609 3114 0			Y		888@20	0	23	Nightmare Zone
								
# Pest Control - Void Knights' Outpost (requires 40 combat)								
2658 2663 0			Y		888@20	0	23	Pest Control
								
# Rat Pits - East Ardougne, Keldagrim, Port Sarim, Varrock								
2561 3319 0		Ratcatchers	Y		888@20	0	23	Rat Pits: Ardougne
2914 10193 0		Ratcatchers	Y		888@20	0	23	Rat Pits: Keldagrim
3018 3231 0		Ratcatchers	Y		888@20	0	23	Rat Pits: Port Sarim
3267 3399 0		Ratcatchers	Y		888@20	0	23	Rat Pits: Varrock
								
# Shades of Mort'ton								
3506 3304 0		Shades of Mort'ton	Y		888@20	0	23	Shades of Mort'ton
								
# Soul Wars - Isle of Souls								
2018 5929 0			Y		888@20	0	23	Soul Wars
								
# Tithe Farm - Hosidius								
1792 3501 0	34 Farming		Y		888@20	0	23	Tithe Farm
								
# Trouble Brewing - East Mos Le'Harmless								
3801 3015 0	40 Cooking	Cabin Fever	Y		888@20	0	23	Trouble Brewing
								
# TzHaar Fight Pit - Outer Mor Ul Rek								
2399 5177 0			Y		888@20	0	23	TzHaar Fight Pit
